district,date,time,datetime,temperature,precipitation,rain,snowfall,windSpeed,windGusts,windDirection
Talas,2025-01-01,00:00,2025-01-01T00:00,0.1,0,0,0,5.8,10.8,210
Talas,2025-01-01,01:00,2025-01-01T01:00,0.5,0,0,0,4.2,8.3,220
Talas,2025-01-01,02:00,2025-01-01T02:00,0.1,0,0,0,3.5,7.9,219
Talas,2025-01-01,03:00,2025-01-01T03:00,-0.3,0,0,0,4,6.8,210
Talas,2025-01-01,04:00,2025-01-01T04:00,-1,0,0,0,1.9,6.1,221
Talas,2025-01-01,05:00,2025-01-01T05:00,-1.3,0,0,0,0.6,5,236
Talas,2025-01-01,06:00,2025-01-01T06:00,-2,0,0,0,0.6,4.3,214
Talas,2025-01-01,07:00,2025-01-01T07:00,-2.5,0,0,0,2,6.1,185
Talas,2025-01-01,08:00,2025-01-01T08:00,-2.3,0,0,0,1.1,6.1,171
Talas,2025-01-01,09:00,2025-01-01T09:00,-0.5,0,0,0,2.3,6.8,184
Talas,2025-01-01,10:00,2025-01-01T10:00,0.9,0,0,0,1.8,11.2,246
Talas,2025-01-01,11:00,2025-01-01T11:00,2.2,0,0,0,1.5,13,284
Talas,2025-01-01,12:00,2025-01-01T12:00,3.2,0,0,0,1.3,13.7,304
Talas,2025-01-01,13:00,2025-01-01T13:00,4.1,0,0,0,1.4,13.7,293
Talas,2025-01-01,14:00,2025-01-01T14:00,4.8,0,0,0,1.3,13.7,304
Talas,2025-01-01,15:00,2025-01-01T15:00,5,0,0,0,0.8,13.7,243
Talas,2025-01-01,16:00,2025-01-01T16:00,5.2,0,0,0,1.8,11.9,191
Talas,2025-01-01,17:00,2025-01-01T17:00,3.4,0,0,0,2.7,10.4,203
Talas,2025-01-01,18:00,2025-01-01T18:00,1.8,0,0,0,3.6,8.6,189
Talas,2025-01-01,19:00,2025-01-01T19:00,1.1,0,0,0,3.7,9,166
Talas,2025-01-01,20:00,2025-01-01T20:00,0.6,0,0,0,4.4,10.1,153
Talas,2025-01-01,21:00,2025-01-01T21:00,0.3,0,0,0,4.4,10.4,150
Talas,2025-01-01,22:00,2025-01-01T22:00,0,0,0,0,3.8,10.1,149
Talas,2025-01-01,23:00,2025-01-01T23:00,-0.3,0,0,0,3,9.4,142
Talas,2025-01-02,00:00,2025-01-02T00:00,-0.2,0,0,0,2.1,7.9,142
Talas,2025-01-02,01:00,2025-01-02T01:00,-0.2,0,0,0,1.5,6.1,166
Talas,2025-01-02,02:00,2025-01-02T02:00,-0.1,0,0,0,0.7,5,194
Talas,2025-01-02,03:00,2025-01-02T03:00,-0.3,0,0,0,0.5,3.6,225
Talas,2025-01-02,04:00,2025-01-02T04:00,-0.7,0,0,0,0.2,4.7,180
Talas,2025-01-02,05:00,2025-01-02T05:00,-0.9,0,0,0,0.9,3.2,233
Talas,2025-01-02,06:00,2025-01-02T06:00,-1.1,0,0,0,1.2,3.6,243
Talas,2025-01-02,07:00,2025-01-02T07:00,-1.1,0,0,0,0.9,3.6,233
Talas,2025-01-02,08:00,2025-01-02T08:00,-0.9,0,0,0,0.5,4,225
Talas,2025-01-02,09:00,2025-01-02T09:00,1.1,0,0,0,0.8,4,225
Talas,2025-01-02,10:00,2025-01-02T10:00,3.1,0,0,0,2,8.6,275
Talas,2025-01-02,11:00,2025-01-02T11:00,5.2,0,0,0,3,13,327
Talas,2025-01-02,12:00,2025-01-02T12:00,6.7,0,0,0,4.3,16.2,336
Talas,2025-01-02,13:00,2025-01-02T13:00,7.7,0,0,0,5.4,18,334
Talas,2025-01-02,14:00,2025-01-02T14:00,8.1,0,0,0,5.8,18.4,340
Talas,2025-01-02,15:00,2025-01-02T15:00,8.2,0,0,0,6,18.4,344
Talas,2025-01-02,16:00,2025-01-02T16:00,7.3,0,0,0,6.1,18,328
Talas,2025-01-02,17:00,2025-01-02T17:00,3.6,0,0,0,1.9,13,287
Talas,2025-01-02,18:00,2025-01-02T18:00,2.5,0,0,0,0.7,4.7,166
Talas,2025-01-02,19:00,2025-01-02T19:00,2.1,0,0,0,1,3.2,135
Talas,2025-01-02,20:00,2025-01-02T20:00,1.4,0,0,0,0.6,3.6,146
Talas,2025-01-02,21:00,2025-01-02T21:00,-0.2,0,0,0,1.4,5.4,157
Talas,2025-01-02,22:00,2025-01-02T22:00,-0.7,0,0,0,2,8.3,170
Talas,2025-01-02,23:00,2025-01-02T23:00,-0.8,0,0,0,2.5,10.1,172
Talas,2025-01-03,00:00,2025-01-03T00:00,-0.9,0,0,0,3.1,11.5,173
Talas,2025-01-03,01:00,2025-01-03T01:00,-1.1,0,0,0,2.9,11.5,180
Talas,2025-01-03,02:00,2025-01-03T02:00,-1.4,0,0,0,2.3,11.2,180
Talas,2025-01-03,03:00,2025-01-03T03:00,-1.6,0,0,0,2.2,9.7,171
Talas,2025-01-03,04:00,2025-01-03T04:00,-1,0,0,0,2.2,5.8,156
Talas,2025-01-03,05:00,2025-01-03T05:00,-1,0,0,0,2.7,6.8,160
Talas,2025-01-03,06:00,2025-01-03T06:00,-0.8,0,0,0,2.2,6.5,166
Talas,2025-01-03,07:00,2025-01-03T07:00,-0.7,0,0,0,1.7,5.8,162
Talas,2025-01-03,08:00,2025-01-03T08:00,-0.7,0,0,0,2.3,5.8,162
Talas,2025-01-03,09:00,2025-01-03T09:00,1.5,0,0,0,1.7,5.8,193
Talas,2025-01-03,10:00,2025-01-03T10:00,4.4,0,0,0,2.1,7.9,308
Talas,2025-01-03,11:00,2025-01-03T11:00,6.3,0,0,0,3.5,14,348
Talas,2025-01-03,12:00,2025-01-03T12:00,7.7,0,0,0,4.1,16.6,345
Talas,2025-01-03,13:00,2025-01-03T13:00,8.4,0,0,0,5.3,18.4,332
Talas,2025-01-03,14:00,2025-01-03T14:00,8.6,0,0,0,7.1,20.5,330
Talas,2025-01-03,15:00,2025-01-03T15:00,8.1,0,0,0,7.1,20.9,351
